Address ID,Location Name,Street Address,Zip,City,State
0,Western Governors University,4001 South 700 East,84107,Salt Lake City,UT
1,International Peace Gardens,1060 Dalton Ave S,84104,Salt Lake City,UT
2,Sugar House Park,1330 2100 S,84106,Salt Lake City,UT
3,Taylorsville-Bennion Heritage,1488 4800 S,84123,Salt Lake City,UT
4,Salt Lake City Division of Health Services,177 W Price Ave,84115,Salt Lake City,UT
5,South Salt Lake Public Works,195 W Oakland Ave,84115,Salt Lake City,UT
6,Salt Lake City Streets and Sanitation,2010 W 500 S,84104,Salt Lake City,UT
7,Deker Lake,2300 Parkway Blvd,84119,West Valley City,UT
8,Salt Lake City Ottinger Hall,233 Canyon Rd,84103,Salt Lake City,UT
9,Columbus Library,2530 S 500 E,84106,Salt Lake City,UT
10,Taylorsville City Hall,2600 Taylorsville Blvd,84118,Salt Lake City,UT
11,South Salt Lake Police,2835 Main St,84115,Salt Lake City,UT
12,Council Hall,300 State St,84103,Salt Lake City,UT
13,Redwood Park,3060 Lester St,84119,West Valley City,UT
14,Salt Lake County Mental Health,3148 S 1100 W,84119,Salt Lake City,UT
15,Salt Lake County/United Police Dept,3365 S 900 W,84119,Salt Lake City,UT
16,West Valley Prosecutor,3575 W Valley Central Station Bus Loop,84119,West Valley City,UT
17,Housing Auth. Of Salt Lake County,3595 Main St,84115,Salt Lake City,UT
18,Utah DMV Administrative Office,380 W 2880 S,84115,Salt Lake City,UT
19,Third District Juvenile Court,410 S State St,84111,Salt Lake City,UT
20,Cottonwood Regional Softball Complex,4300 S 1300 E,84117,Millcreek,UT
21,Holiday City Office,4580 S 2300 E,84117,Holladay,UT
22,Murray City Museum,5025 State St,84107,Murray,UT
23,Valley Regional Softball Complex,5100 South 2700 West,84118,Salt Lake City,UT
24,City Center of Rock Spring,5383 S 900 East #104,84117,Salt Lake City,UT
25,Rice Terrace Pavilion Park,600 E 900 South,84105,Salt Lake City,UT
26,Wheeler Historic Farm,6351 South 900 East,84121,Murray,UT